name;mask
gps_Jason-3_2020;False
argos_Jason-3_2020;False
gps_SARAL_2020;False
argos_SARAL_2020;False
gps_Cryosat-2_2020;False
argos_Cryosat-2_2020;False
gps_Sentinel-3_A_2020;False
argos_Sentinel-3_A_2020;False
gps_Sentinel-3_B_2020;False
argos_Sentinel-3_B_2020;False
gps_Jason-3_2019;True
argos_Jason-3_2019;True
gps_SARAL_2019;False
argos_SARAL_2019;False
gps_Cryosat-2_2019;False
argos_Cryosat-2_2019;False
gps_Sentinel-3_A_2019;False
argos_Sentinel-3_A_2019;False
gps_Sentinel-3_B_2019;False
argos_Sentinel-3_B_2019;False
gps_Jason-3_2018;False
argos_Jason-3_2018;False
gps_SARAL_2018;False
argos_SARAL_2018;False
gps_Cryosat-2_2018;False
argos_Cryosat-2_2018;False
gps_Sentinel-3_A_2018;False
argos_Sentinel-3_A_2018;False
gps_Sentinel-3_B_2018;False
argos_Sentinel-3_B_2018;False
gps_Jason-3_2017;False
argos_Jason-3_2017;False
gps_Jason-2_2017;False
argos_Jason-2_2017;False
gps_SARAL_2017;False
argos_SARAL_2017;False
gps_Cryosat-2_2017;False
argos_Cryosat-2_2017;False
gps_Sentinel-3_A_2017;False
argos_Sentinel-3_A_2017;False
gps_Jason-3_2016;False
argos_Jason-3_2016;False
gps_Jason-2_2016;False
argos_Jason-2_2016;False
gps_SARAL_2016;False
argos_SARAL_2016;False
gps_Cryosat-2_2016;False
argos_Cryosat-2_2016;False
gps_Sentinel-3_A_2016;False
argos_Sentinel-3_A_2016;False
gps_Jason-2_2015;False
argos_Jason-2_2015;False
gps_SARAL_2015;False
argos_SARAL_2015;False
gps_Cryosat-2_2015;False
argos_Cryosat-2_2015;False
gps_Jason-2_2014;False
argos_Jason-2_2014;False
gps_SARAL_2014;False
argos_SARAL_2014;False
gps_Cryosat-2_2014;False
argos_Cryosat-2_2014;False
gps_Jason-2_2013;False
argos_Jason-2_2013;False
gps_SARAL_2013;False
argos_SARAL_2013;False
gps_Cryosat-2_2013;False
argos_Cryosat-2_2013;False
gps_Jason-2_2012;False
argos_Jason-2_2012;False
gps_Cryosat-2_2012;False
argos_Cryosat-2_2012;False
gps_Jason-2_2011;False
argos_Jason-2_2011;False
gps_Cryosat-2_2011;False
argos_Cryosat-2_2011;False
gps_Jason-2_2010;False
argos_Jason-2_2010;False
gps_Cryosat-2_2010;False
argos_Cryosat-2_2010;False
